sentence_index,num_bytes,num_patches,avg_patch_length,mean_entropy,min_entropy,max_entropy,text_preview
0,1378,126,10.94,0.3742,0.0002,3.267,दिवाळीच्या मुहुर्तावर प्रेक्षकांच्या भेटीला येणाऱ्या या चित्रपटामध्ये आमिर खान आ
1,876,107,8.19,0.4556,0.0002,3.267,या चित्रपटात आपल्याला एक वेगळाच रणबीर कपूर पाहायला मिळणार आहे 21 व्या शतकातल्या 
2,1239,167,7.42,0.4724,0.0002,3.2263,आज माता अन्नपूर्णा धाम इथे प्राणप्रतिष्ठा समयी समाजाला नवी दिशा देण्याचा विचार द
3,1161,152,7.64,0.4696,0.0002,3.1869,तरीसुद्धा बऱ्‍याच लोकांना दंतवैद्याकडे जायला भीती वाटते राज्य विधानसभेत भाजपला 
4,552,70,7.89,0.4939,0.0002,3.2014,आर भाषेची क्षमता पॅकेजेस छोटे प्रोग्रॅम लिहून आणि ती इम्पोर्ट करून वाढवता येते उ
5,772,92,8.39,0.4583,0.0002,3.1935,‘ ज्या विश्‍वासू व बुद्धिमान दासाला धन्याने आपल्या परिवारावर नेमिले आहे असा कोण 
6,950,122,7.79,0.4642,0.0002,3.2226,त्यानंतरच्या काळात रेने बोर्जेस यांनी बंगलोरच्या इन्स्टिट्यूट ऑफ सायन्सेस येथे स
7,983,122,8.06,0.4359,0.0002,3.267,वेस्ट इंडिज पाकिस्तान व त्यानंतर ऑस्ट्रेलियाविरुद्धच्या मालिका इंग्लंडमध्ये खेळव
8,1306,170,7.68,0.4722,0.0002,3.267,यामुळे शेतकयांना मृदेच्‍या स्थितीची माहिती पिक निवड करण्‍यात मदत मिळतेया कार्डमु
9,1158,151,7.67,0.5001,0.0002,3.267,पण आजच्या जगात लोकांनी केलेल्या मोठमोठ्या कामगिरींचाही इतरांना लवकरच विसर पडतो ह
10,774,85,9.11,0.4262,0.0002,3.1951,मात्र ताबा सुटून झालेला हा अपघात या कुटुंबाला दुखाच्या छायेत घेऊन गेला आहे पण ठर
11,730,81,9.01,0.4149,0.0002,3.2271,या बैठकीत विविध मुद्द्यांवर चर्चा होणार आहे त्यापैकी एकाचा जागीच मृत्यू झाला होत
