Rank,OrigIdx,Text_Preview,N_Words,Fert_Augmented,Fert_Retrained,Phase1_Best,BLT_Fertility,N_Patches,Delta,Categories
1,24245,आठवतंय,1,2.0,1.0,1.0,3.0,3,2.0,Very short sentence (< 5 words)
2,23374,त्यांनी माझ्यावर दादागिरी केली,4,1.0,1.0,1.0,2.0,8,1.0,Rare Unicode / uncommon Devanagari; Very short sentence (< 5 words)
3,23579,स्वतःला वाचवण्यासाठी काहीच वेळ नव्हता,5,1.0,1.0,1.0,1.8,9,0.8,Rare Unicode / uncommon Devanagari
4,23083,तिचं उत्तर आठवते आहे,4,1.25,1.0,1.0,1.75,7,0.75,Very short sentence (< 5 words)
5,23574,स्वच्छ पाण्याचे दुर्भिक्ष्य आहे,4,1.0,1.0,1.0,1.75,7,0.75,Rare Unicode / uncommon Devanagari; Very short sentence (< 5 words)
6,24371,मीही तुझ्यासोबत असेन लवकरच,4,1.5,1.0,1.0,1.75,7,0.75,Very short sentence (< 5 words)
7,23054,नेमकं हेच घडलं,3,1.0,1.0,1.0,1.6667,5,0.6667,Very short sentence (< 5 words)
8,23377,प्रेम करून पहा,3,1.0,1.0,1.0,1.6667,5,0.6667,Very short sentence (< 5 words)
9,23469,फारच सुमार सामग्री,3,1.0,1.0,1.0,1.6667,5,0.6667,Very short sentence (< 5 words)
10,24017,का तिने विचारले,3,1.0,1.0,1.0,1.6667,5,0.6667,Very short sentence (< 5 words)
11,24372,मी तुझ्यासोबत असेन,3,1.6667,1.0,1.0,1.6667,5,0.6667,Very short sentence (< 5 words)
12,24510,आम्ही चुरशीने लढलो,3,1.0,1.0,1.0,1.6667,5,0.6667,Very short sentence (< 5 words)
13,23440,त्यांनी विचलित होता कामा नये,5,1.0,1.0,1.0,1.6,8,0.6,Other
14,22554,आज यातील काहीच नाही,4,1.0,1.0,1.0,1.5,6,0.5,Very short sentence (< 5 words)
15,22578,माझा चावा घेतला आहे,4,1.0,1.0,1.0,1.5,6,0.5,Very short sentence (< 5 words)
